"unitbox","unit","box","Band","Capture","base","stress","dex","year","NumFled","Clutch_Size","Attempt_Number","Site","Nest","Nest_Experiment","Age","Experiment"
"1_14",1,14,272107623,"3",0.4,NA,NA,2017,4,5,1,"Unit_1","14","Color","SY","Color"
"1_17",1,17,212110275,"3",6.7,NA,NA,2017,3,4,1,"Unit_1","17","Color","ASY","Color"
"1_24",1,24,263114087,"3",NA,NA,NA,2017,5,5,1,"Unit_1","24","Color","ASY","Color"
"1_26",1,26,239159871,"3",0.4,NA,NA,2017,4,5,1,"Unit_1","26","Color","ASY","Color"
"1_28",1,28,272106712,"3",NA,NA,NA,2017,3,5,1,"Unit_1","28","Color","SY","Color"
"1_34",1,34,232146988,"3",5.7,NA,NA,2017,3,6,1,"Unit_1","34","Color","SY","Color"
"1_38",1,38,272106705,"3",NA,NA,NA,2017,3,5,1,"Unit_1","38","Color","SY","Color"
"1_41",1,41,262125950,"3",1.4,NA,NA,2017,4,6,1,"Unit_1","41","Color","ASY","Color"
"1_45",1,45,272107746,"3",NA,NA,NA,2017,0,6,1,"Unit_1","45","Color","ASY","Color"
"1_49",1,49,272106710,"3",17.8,NA,NA,2017,0,5,1,"Unit_1","49","Color","SY","Color"
"1_58",1,58,272107747,"3",NA,NA,NA,2017,0,5,1,"Unit_1","58","Color","SY","Color"
"1_60",1,60,272106702,"3",1.6,NA,NA,2017,0,6,1,"Unit_1","60","Color","ASY","Color"
"1_62",1,62,272106703,"3",1,NA,NA,2017,4,5,1,"Unit_1","62","Color","SY","Color"
"1_70",1,70,272106603,"3",5.2,NA,NA,2017,4,5,1,"Unit_1","70","Color","SY","Color"
"1_77",1,77,272106614,"3",NA,NA,NA,2017,0,6,1,"Unit_1","77","Color","SY","Color"
"1_80",1,80,232146953,"3",5.1,NA,NA,2017,4,5,1,"Unit_1","80","Color","ASY","Color"
"1_83",1,83,272107604,"3",10.2,NA,NA,2017,0,6,1,"Unit_1","83","Color","SY","Color"
"1_85",1,85,239159842,"3",0.8,NA,NA,2017,4,6,1,"Unit_1","85","Color","ASY","Color"
"1_87",1,87,272106613,"3",1.9,NA,NA,2017,0,6,1,"Unit_1","87","Color","SY","Color"
"1_89",1,89,272107019,"3",1.6,NA,NA,2017,5,5,1,"Unit_1","89","Color","ASY","Color"
"1_92",1,92,272107748,"3",2.7,NA,NA,2017,3,5,1,"Unit_1","92","Color","SY","Color"
"1_99",1,99,272107753,"3",3,NA,NA,2017,0,5,1,"Unit_1","99","Color","SY","Color"
"2_100",2,100,272106604,"3",3.2,NA,NA,2017,5,5,1,"Unit_2","100","Color","SY","Color"
"2_104",2,104,272106706,"3",NA,NA,NA,2017,3,6,1,"Unit_2","104","Color","SY","Color"
"2_105",2,105,272107743,"3",9.3,NA,NA,2017,1,6,1,"Unit_2","105","Color","SY","Color"
"2_108",2,108,272107749,"3",3.7,NA,NA,2017,4,4,1,"Unit_2","108","Color","SY","Color"
"2_110",2,110,272107744,"3",NA,NA,NA,2017,4,5,1,"Unit_2","110","Color","SY","Color"
"2_111",2,111,263113715,"3",NA,NA,NA,2017,0,7,1,"Unit_2","111","Color","ASY","Color"
"2_113",2,113,272107068,"3",1.3,NA,NA,2017,2,5,1,"Unit_2","113","Color","SY","Color"
"2_114",2,114,272107217,"3",1.9,NA,NA,2017,5,6,1,"Unit_2","114","Color","ASY","Color"
"2_116",2,116,262125455,"3",1.4,NA,NA,2017,4,6,1,"Unit_2","116","Color","ASY","Color"
"2_117",2,117,263114002,"3",2.7,NA,NA,2017,6,6,1,"Unit_2","117","Color","ASY","Color"
"2_119",2,119,272107751,"3",0.4,NA,NA,2017,3,5,1,"Unit_2","119","Color","SY","Color"
"2_12",2,12,272107755,"3",NA,NA,NA,2017,0,6,1,"Unit_2","12","Color","SY","Color"
"2_121",2,121,272107625,"3",4.9,NA,NA,2017,1,5,1,"Unit_2","121","Color","SY","Color"
"2_122",2,122,262125482,"3",2.7,NA,NA,2017,6,6,1,"Unit_2","122","Color","ASY","Color"
"2_126",2,126,272106708,"3",10.5,NA,NA,2017,3,5,1,"Unit_2","126","Color","SY","Color"
"2_15",2,15,272107403,"3",3.8,NA,NA,2017,2,5,1,"Unit_2","15","Color","ASY","Color"
"2_17",2,17,272106605,"3",1.7,NA,NA,2017,3,4,1,"Unit_2","17","Color","SY","Color"
"2_2",2,2,272107624,"3",NA,NA,NA,2017,4,5,1,"Unit_2","2","Color","SY","Color"
"2_23",2,23,262125983,"3",4.3,NA,NA,2017,5,5,1,"Unit_2","23","Color","ASY","Color"
"2_25",2,25,272107757,"3",6.9,NA,NA,2017,4,6,1,"Unit_2","25","Color","SY","Color"
"2_27",2,27,240150355,"3",1.7,NA,NA,2017,0,5,1,"Unit_2","27","Color","ASY","Color"
"2_29",2,29,272107739,"3",1.4,NA,NA,2017,5,5,1,"Unit_2","29","Color","ASY","Color"
"2_34",2,34,259122567,"3",2.5,NA,NA,2017,5,6,1,"Unit_2","34","Color","ASY","Color"
"2_37",2,37,263113706,"3",23.8,NA,NA,2017,0,6,1,"Unit_2","37","Color","ASY","Color"
"2_38",2,38,240150270,"3",NA,NA,NA,2017,0,6,1,"Unit_2","38","Color","ASY","Color"
"2_42",2,42,272107756,"3",NA,NA,NA,2017,0,6,1,"Unit_2","42","Color","SY","Color"
"2_46",2,46,272106704,"3",0.5,NA,NA,2017,4,5,1,"Unit_2","46","Color","SY","Color"
"2_49",2,49,272107745,"3",0.7,NA,NA,2017,2,5,1,"Unit_2","49","Color","SY","Color"
"2_5",2,5,240150273,"3",1.6,NA,NA,2017,1,2,1,"Unit_2","5","Color","ASY","Color"
"2_54",2,54,272107016,"3",0.2,NA,NA,2017,6,7,1,"Unit_2","54","Color","ASY","Color"
"2_56",2,56,272107758,"3",4.5,NA,NA,2017,0,5,1,"Unit_2","56","Color","SY","Color"
"2_64",2,64,88004754,"3",2.5,NA,NA,2017,3,4,1,"Unit_2","64","Color","SY","Color"
"2_68",2,68,272107754,"3",NA,NA,NA,2017,1,5,1,"Unit_2","68","Color","SY","Color"
"2_75",2,75,272107039,"3",2.2,NA,NA,2017,4,4,1,"Unit_2","75","Color","SY","Color"
"2_77",2,77,263113714,"3",2.2,NA,NA,2017,5,6,1,"Unit_2","77","Color","ASY","Color"
"2_86",2,86,272106602,"3",3.4,NA,NA,2017,0,6,1,"Unit_2","86","Color","SY","Color"
"2_9",2,9,212110252,"3",NA,NA,NA,2017,0,6,1,"Unit_2","9","Color","SY","Color"
"2_95",2,95,272107752,"3",1.9,NA,NA,2017,3,7,1,"Unit_2","95","Color","ASY","Color"
"2_97",2,97,272106707,"3",1.7,NA,NA,2017,0,5,1,"Unit_2","97","Color","SY","Color"
