unitbox	unit	box	fband	Capture	base	stress	dex	year	NumFled
4_71	4	71	272107779	3	6.5	20.6	13.1	2018	5
4_72	4	72	272107298	3	19.5	46.5	16.7	2018	6
4_80	4	80	272107599	3	0.8	78.4	28.8	2018	5
4_93	4	93	156181156	3	3.7	27.2	12.8	2018	5
4_101	4	101	272107258	3	1.1	50.0	17.6	2018	2
1_17	1	17	272107153	3	2.4	29.6	17.7	2018	0
1_62	1	62	272106819	3				2018	0
1_69	1	69	272107808	3		 		2018	0
1_77	1	77	262125490	3				2018	0
1_91	1	91	272107809	3	1.2	44.8	24.0	2018	4
1_104	1	104	272107790	3				2018	0
1_121	1	121	272107750	3	0.7	15.0	8.4	2018	2
1_123	1	123	272106696	3	0.0	28.7	13.5	2018	0
2_9	2	9	272107787	3				2018	0
2_14	2	14	272106905	3	5.5	45.1	16.5	2018	2
2_21	2	21	88004754	3	1.9	56.2	24.9	2018	5
2_27	2	27	272107297	3	1.5	50.1		2018	1
2_30	2	30	272106613	3	5.7	33.6	7.8	2018	2
2_45	2	45	272107810	3				2018	0
2_51	2	51	272107801	3	5.4	43.8	29.2	2018	0
2_71	2	71	272106822	3				2018	0
2_80	2	80	272106904	3	1.3	16.3	14.4	2018	1
2_86	2	86	272106907	3	0.4	22.3	14.5	2018	4
2_109	2	109	272107739	3	1.0	25.9	13.6	2018	4
2_114	2	114	272107217	3	1.4	26.0	15.3	2018	1
2_117	2	117	272106913	3	2.7	15.5	11.9	2018	5
2_121	2	121	272107112	3	3.2	32.3	13.9	2018	3
4_62	4	62	272107219	3	13.9	76.3	16.1	2018	2
4_76	4	76	272106708	3				2018	0
4_90	4	90	272107261	3	3.0	29.5	9.9	2018	0
2_105	2	105	272107016	3	8.3	54.9	18.9	2018	0
2_96	2	96	272107803	3				2018	0
2_92	2	92	272106912	3				2018	0
2_49	2	49	272106906	3				2018	0
2_32	2	32	272107804	3				2018	0
